model,question_id,source_length,rouge_1_precision,rouge_1_recall,rouge_1_f1,rouge_2_precision,rouge_2_recall,rouge_2_f1,rouge_l_precision,rouge_l_recall,rouge_l_f1,bertscore_precision,bertscore_recall,bertscore_f1,compression_ratio,length,in_range,deviation,compliance_score,information_density,bartscore_info,bartscore_faith,bartscore_avg
gemma_4b_ol_q4km,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7881245613098145,0.7266775369644165,0.7561547756195068,0.4851063829787234,114,0.0,0.425,0.575,0.0,-3.225303888320923,-3.5293619632720947,-3.377332925796509
gemma_4b_ol_q4km,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8018287420272827,0.7320283651351929,0.7653403878211975,0.4463276836158192,79,0.0,0.3166666666666666,0.6833333333333333,0.0,-3.373213529586792,-3.5046653747558594,-3.4389394521713257
phi3_4b_hf_4bit,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6636484861373901,0.618061900138855,0.6400445103645325,0.4316939890710382,79,0.0,0.1285714285714285,0.8714285714285714,0.0,-4.319766998291016,-3.812248706817627,-4.066007852554321
phi3_4b_hf_4bit,q02,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5429151058197021,0.5488884449005127,0.545885443687439,0.9005847953216374,154,0.0,1.5666666666666669,0.0,0.0,-5.052034854888916,-4.0437846183776855,-4.547909736633301
phi3_4b_hf_4bit,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254587411880493,0.7594512701034546,0.742065966129303,1.0301204819277108,171,0.0,1.85,0.0,0.0,-3.766631841659546,-3.5036587715148926,-3.6351453065872192
phi3_4b_hf_4bit,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6649192571640015,0.6302223801612854,0.6471060514450073,0.9659574468085106,227,0.0,1.8375,0.0,0.0,-4.296359539031982,-3.9868595600128174,-4.1416095495224
phi3_4b_hf_4bit,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8518058061599731,0.8250290751457214,0.8382036685943604,0.8813559322033898,156,0.0,1.6,0.0,0.0,-3.0279712677001953,-2.979945182800293,-3.003958225250244
phi3_4b_hf_8bit,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8136436939239502,0.6578922867774963,0.7275254130363464,0.2841530054644808,52,1.0,0.0,1.0,0.0,-3.243313789367676,-3.589901924133301,-3.4166078567504883
phi3_4b_hf_8bit,q02,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7044156193733215,0.7493458390235901,0.7261864542961121,0.95906432748538,164,0.0,1.7333333333333334,0.0,0.0,-3.9926681518554688,-3.1749844551086426,-3.5838263034820557
phi3_4b_hf_8bit,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582358717918396,0.5907992124557495,0.5865486264228821,1.1385542168674698,189,0.0,2.15,0.0,0.0,-4.692770957946777,-4.173659324645996,-4.433215141296387
phi3_4b_hf_8bit,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6813864707946777,0.6610802412033081,0.6710797548294067,0.8170212765957446,192,0.0,1.4,0.0,0.0,-3.7684543132781982,-3.985698699951172,-3.877076506614685
phi3_4b_hf_8bit,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6789045929908752,0.6972759366035461,0.6879676580429077,0.8983050847457628,159,0.0,1.65,0.0,0.0,-4.128237724304199,-3.7537543773651123,-3.9409960508346558
qwen25_3b_hf_4bit,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7328544855117798,0.9186352491378784,0.8152953386306763,2.5628415300546448,469,0.0,5.7,0.0,0.0,-2.8992397785186768,-1.9319013357162476,-2.415570557117462
qwen25_3b_hf_4bit,q02,171,0.5,0.6666666666666666,0.5714285665306124,0.3333333333333333,0.5,0.3999999952,0.5,0.6666666666666666,0.5714285665306124,0.7373772263526917,0.9136288166046144,0.816095232963562,2.175438596491228,372,0.0,5.2,0.0,0.3064516129032257,-2.815255641937256,-1.807847499847412,-2.311551570892334
qwen25_3b_hf_4bit,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6996311545372009,0.7553669214248657,0.7264314889907837,4.228915662650603,702,0.0,10.7,0.0,0.0,-2.3259189128875732,-3.1493709087371826,-2.737644910812378
qwen25_3b_hf_4bit,q04,235,0.25,0.5,0.3333333288888889,0.0,0.0,0.0,0.25,0.5,0.3333333288888889,0.770993173122406,0.8596005439758301,0.8128893375396729,2.025531914893617,476,0.0,4.95,0.0,0.2468487394957983,-2.588146448135376,-2.0771372318267822,-2.332641839981079
qwen25_3b_hf_4bit,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6380406022071838,0.7988986968994141,0.7094660401344299,3.8926553672316384,689,0.0,10.483333333333333,0.0,0.0,-2.55206036567688,-2.8832309246063232,-2.7176456451416016
qwen25_3b_hf_8bit,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6175402402877808,0.5707607865333557,0.5932297110557556,2.453551912568306,449,0.0,5.414285714285715,0.0,0.0,-2.5189130306243896,-3.880565881729126,-3.199739456176758
qwen25_3b_hf_8bit,q02,171,0.5,1.0,0.6666666622222223,0.3333333333333333,1.0,0.4999999962500001,0.5,1.0,0.6666666622222223,0.8062679767608643,0.8478737473487854,0.8265476822853088,2.0526315789473686,351,0.0,4.85,0.0,0.4871794871794871,-1.8724653720855713,-1.7709832191467285,-1.82172429561615
qwen25_3b_hf_8bit,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7330228090286255,0.6660730838775635,0.6979461312294006,2.4819277108433737,412,0.0,5.866666666666666,0.0,0.0,-2.218287706375122,-3.6810221672058105,-2.9496549367904663
qwen25_3b_hf_8bit,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738955020904541,0.8867101669311523,0.8061179518699646,1.8170212765957447,427,0.0,4.3375,0.0,0.0,-3.1250035762786865,-2.383901357650757,-2.7544524669647217
qwen25_3b_hf_8bit,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6260071396827698,0.675386905670166,0.6497602462768555,2.2937853107344632,406,0.0,5.766666666666667,0.0,0.0,-3.6536777019500732,-3.8049159049987793,-3.7292968034744263
qwen25_7b_hf_4bit,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6713277101516724,0.6405672430992126,0.6555868983268738,2.2841530054644807,418,0.0,4.971428571428572,0.0,0.0,-2.961383104324341,-3.818459987640381,-3.389921545982361
qwen25_7b_hf_4bit,q02,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6004582643508911,0.7297284603118896,0.6588119864463806,1.95906432748538,335,0.0,4.583333333333333,0.0,0.0,-4.114828586578369,-3.603877067565918,-3.8593528270721436
qwen25_7b_hf_4bit,q03,166,0.0909090909090909,1.0,0.1666666651388889,0.0,0.0,0.0,0.0909090909090909,1.0,0.1666666651388889,0.7596075534820557,0.906287968158722,0.8264902234077454,2.5301204819277108,420,0.0,6.0,0.0,0.3952380952380952,-2.828700304031372,-1.9770662784576416,-2.402883291244507
qwen25_7b_hf_4bit,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7256319522857666,0.6824663281440735,0.7033875584602356,2.021276595744681,475,0.0,4.9375,0.0,0.0,-2.766489267349243,-3.6867496967315674,-3.2266194820404053
qwen25_7b_hf_4bit,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6840722560882568,0.7403867244720459,0.7111163139343262,1.915254237288136,339,0.0,4.65,0.0,0.0,-3.6342828273773193,-3.51039457321167,-3.5723387002944946
qwen_4b_ol_q4km,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7370917201042175,0.8802450895309448,0.8023330569267273,2.360655737704918,432,0.0,5.171428571428572,0.0,0.0,-3.3430943489074707,-2.287947416305542,-2.8155208826065063
qwen_4b_ol_q4km,q02,171,0.0625,0.3333333333333333,0.1052631552354571,0.0,0.0,0.0,0.0625,0.3333333333333333,0.1052631552354571,0.7314261198043823,0.8486326336860657,0.7856822609901428,1.947368421052632,333,0.0,4.55,0.0,0.1711711711711711,-3.3369147777557373,-2.507460832595825,-2.9221878051757812
qwen_4b_ol_q4km,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7873245477676392,0.8940801024436951,0.8373132944107056,2.644578313253012,439,0.0,6.316666666666666,0.0,0.0,-2.9752492904663086,-1.8744347095489502,-2.4248420000076294
qwen_4b_ol_q4km,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7261824011802673,0.8242452144622803,0.7721125483512878,1.851063829787234,435,0.0,4.4375,0.0,0.0,-3.7141497135162354,-2.9447097778320312,-3.3294297456741333
qwen_4b_ol_q4km,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7944531440734863,0.8771960139274597,0.8337767720222473,1.8361581920903955,325,0.0,4.416666666666667,0.0,0.0,-3.0844385623931885,-2.436328411102295,-2.7603834867477417
qwen_8b_ol_q4km,q01,183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8011413216590881,0.6965879797935486,0.7452152967453003,0.4043715846994535,74,0.0,0.0571428571428571,0.9428571428571428,0.0,-3.208510637283325,-3.4080700874328613,-3.3082903623580933
qwen_8b_ol_q4km,q02,171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6369290351867676,0.735432505607605,0.6826456785202026,1.912280701754386,327,0.0,4.45,0.0,0.0,-3.6644439697265625,-3.257171392440796,-3.460807681083679
qwen_8b_ol_q4km,q03,166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8619474172592163,0.6787073612213135,0.7594304084777832,0.2048192771084337,34,0.0,0.15,0.85,0.0,-2.867586374282837,-3.5910379886627197,-3.2293121814727783
qwen_8b_ol_q4km,q04,235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6686409711837769,0.766668975353241,0.7143074870109558,1.8127659574468085,426,0.0,4.325,0.0,0.0,-3.771073818206787,-3.2592408657073975,-3.5151573419570923
qwen_8b_ol_q4km,q05,177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6911818385124207,0.796051025390625,0.7399190664291382,1.9096045197740112,338,0.0,4.633333333333334,0.0,0.0,-3.4443066120147705,-3.076630115509033,-3.260468363761902
