experiment_id,model,task_type,prompt,compilation_rate,code_length,cyclomatic_complexity,has_code,test_pass_rate,tests_passed,tests_total
exp_20260303_213904_2451737990816,qwen25_3b_hf_8bit,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",1.0,24,7,1.0,1.0,2.0,2.0
exp_20260303_214052_2451737990816,qwen25_3b_hf_8bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",0.0,7,4,1.0,,,
exp_20260303_231029_2405126166176,qwen25_7b_hf_4bit,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",1.0,27,10,1.0,0.0,0.0,4.0
exp_20260303_231203_2405126166176,qwen25_7b_hf_4bit,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",1.0,28,6,1.0,1.0,5.0,5.0
exp_20260303_231234_2405126166176,qwen25_7b_hf_4bit,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,14,6,1.0,,,
exp_20260303_231305_2405126166176,qwen25_7b_hf_4bit,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",0.0,6,5,1.0,,,
exp_20260303_231350_2405126166176,qwen25_7b_hf_4bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",1.0,12,4,1.0,1.0,3.0,3.0
exp_20260303_224034_2093745559200,qwen25_7b_hf_8bit,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",1.0,24,10,1.0,0.0,0.0,4.0
exp_20260303_224638_2093745559200,qwen25_7b_hf_8bit,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",0.0,6,5,1.0,,,
exp_20260303_224952_2093745559200,qwen25_7b_hf_8bit,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,12,6,1.0,,,
exp_20260303_225305_2093745559200,qwen25_7b_hf_8bit,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",1.0,7,1,1.0,0.0,0.0,2.0
exp_20260303_225707_2093745559200,qwen25_7b_hf_8bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",1.0,29,7,1.0,1.0,3.0,3.0
