experiment_id,model,task_type,prompt,functional_correctness,compilation_success,has_code,test_pass_rate,tests_passed,tests_total,time_complexity_score,space_complexity_score,code_simplicity,code_length,cyclomatic_complexity,nesting_depth,readability_score,has_docstring,has_type_hints,functional_dimension,efficiency_dimension,quality_dimension,readability_dimension
exp_20260303_214052_2451737990816,qwen25_3b_hf_8bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",0.0,0.0,1.0,0.0,0.0,0,0.5,0.7,0.694949494949495,7,4,0,0.0,0.0,0.0,0.0,0.58,0.694949494949495,0.0
exp_20260303_231029_2405126166176,qwen25_7b_hf_4bit,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",0.0,1.0,1.0,0.0,0.0,4,0.8,0.7,0.4261904761904762,27,10,1,0.823015873015873,1.0,1.0,0.3,0.76,0.4261904761904762,0.823015873015873
exp_20260303_231203_2405126166176,qwen25_7b_hf_4bit,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",1.0,1.0,1.0,1.0,5.0,5,0.8,1.0,0.441353065539112,28,6,2,0.65,1.0,1.0,1.0,0.88,0.441353065539112,0.65
exp_20260303_231234_2405126166176,qwen25_7b_hf_4bit,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,0.0,1.0,0.0,0.0,0,0.5,0.7,0.5887147335423197,14,6,0,0.0,0.0,0.0,0.0,0.58,0.5887147335423197,0.0
exp_20260303_231305_2405126166176,qwen25_7b_hf_4bit,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",0.0,0.0,1.0,0.0,0.0,0,0.5,0.7,0.6857142857142857,6,5,0,0.0,0.0,0.0,0.0,0.58,0.6857142857142857,0.0
exp_20260303_231350_2405126166176,qwen25_7b_hf_4bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",1.0,1.0,1.0,1.0,3.0,3,0.5,0.7,0.5444444444444445,12,4,3,0.55,0.0,1.0,1.0,0.58,0.5444444444444445,0.55
exp_20260303_224034_2093745559200,qwen25_7b_hf_8bit,code,"
def multiply(a, b):
    """"""Complete the function that takes two integers and returns 
    the produ...",0.0,1.0,1.0,0.0,0.0,4,0.8,0.7,0.3871794871794871,24,10,3,0.8250000000000001,1.0,1.0,0.3,0.76,0.3871794871794871,0.8250000000000001
exp_20260303_224638_2093745559200,qwen25_7b_hf_8bit,code,"

def triples_sum_to_zero(l: list):
    """"""
    triples_sum_to_zero takes a list of integers as an i...",0.0,0.0,1.0,0.0,0.0,0,0.5,0.7,0.6857142857142857,6,5,0,0.0,0.0,0.0,0.0,0.58,0.6857142857142857,0.0
exp_20260303_224952_2093745559200,qwen25_7b_hf_8bit,code,"from typing import List


def separate_paren_groups(paren_string: str) -> List[str]:
    """""" Input t...",0.0,0.0,1.0,0.0,0.0,0,0.5,0.7,0.6040404040404042,12,6,0,0.0,0.0,0.0,0.0,0.58,0.6040404040404042,0.0
exp_20260303_225305_2093745559200,qwen25_7b_hf_8bit,code,"
def triangle_area(a, b, c):
    '''
    Given the lengths of the three sides of a triangle. Return ...",0.0,1.0,1.0,0.0,0.0,2,1.0,1.0,0.8060606060606061,7,1,0,0.3,0.0,0.0,0.3,1.0,0.8060606060606061,0.3
exp_20260303_225707_2093745559200,qwen25_7b_hf_8bit,code,"
def get_row(lst, x):
    """"""
    You are given a 2 dimensional data, as a nested lists,
    which i...",1.0,1.0,1.0,1.0,3.0,3,0.5,0.7,0.403030303030303,29,7,3,0.8413793103448276,1.0,1.0,1.0,0.58,0.403030303030303,0.8413793103448276
