model,question,correctness,completeness,rigor,clarity,efficiency,total_raw,notes,weighted_total,normalized_score
deepseek_8b_ol_q4km,q05,2.0,5.0,4.0,3.0,2.0,16.0,逆向推理思路正确但未完成，过程详细,3.2499999999999996,64.99999999999999
gemma_2b_hf_4bit,q05,1.0,1.0,1.0,2.0,3.0,8.0,列出选项但无分析，完全错误,1.2000000000000002,24.000000000000004
gemma_2b_hf_8bit,q05,1.0,2.0,1.0,2.0,2.0,8.0,方案错误，理解有误,1.4000000000000001,28.000000000000004
gemma_4b_ol_q4km,q05,2.0,4.0,2.0,3.0,2.0,13.0,理解博弈论但方案错误，分析不够深入,2.6,52.0
phi3_4b_hf_4bit,q05,1.0,2.0,1.0,2.0,3.0,9.0,方案过于简单，理解不足,1.4500000000000002,29.000000000000004
phi3_4b_hf_8bit,q05,1.0,3.0,2.0,2.0,3.0,11.0,方案简单，分析不深入,1.9,38.0
qwen25_3b_hf_4bit,q05,2.0,4.0,3.0,3.0,3.0,15.0,逆向推理思路对但未完成，分析不够深入,2.85,57.00000000000001
qwen25_3b_hf_8bit,q05,1.0,3.0,2.0,2.0,2.0,10.0,方案错误，理解不完整,1.8499999999999999,37.0
qwen25_7b_hf_4bit,q05,3.0,5.0,4.0,4.0,3.0,19.0,逆向推理思路正确，分析较深入但未完全正确,3.8,76.0
qwen_4b_ol_q4km,q05,2.0,5.0,4.0,3.0,1.0,15.0,逆向推理思路对但未完成，过程极其详细但冗长,3.1999999999999993,63.99999999999999
qwen_8b_ol_q4km,q05,2.0,5.0,4.0,3.0,1.0,15.0,逆向推理思路对但未完成，过程极其详细,3.1999999999999993,63.99999999999999
