model,exp_id,total_events,missing_events,complete
qwen3:4b,exp_20260303_195345_,4,1,False
qwen3:4b,exp_20260303_195351_,4,1,False
qwen3:4b,exp_20260303_195402_,4,1,False
qwen3:4b,exp_20260303_195410_,4,1,False
qwen3:4b,exp_20260303_195418_,4,1,False
qwen3:4b,exp_20260303_195425_,4,1,False
qwen3:4b,exp_20260303_195434_,4,1,False
qwen3:4b,exp_20260303_195440_,4,1,False
qwen3:4b,exp_20260303_195446_,4,1,False
qwen3:4b,exp_20260303_195453_,4,1,False
qwen3:4b,exp_20260303_195500_,4,1,False
qwen3:4b,exp_20260303_195506_,4,1,False
qwen3:4b,exp_20260303_195513_,4,1,False
qwen3:4b,exp_20260303_195520_,4,1,False
qwen3:4b,exp_20260303_195527_,4,1,False
qwen3:4b,exp_20260303_195534_,4,1,False
qwen3:8b,exp_20260303_195917_,4,1,False
qwen3:8b,exp_20260303_195934_,4,1,False
qwen3:8b,exp_20260303_195952_,4,1,False
qwen3:8b,exp_20260303_200013_,4,1,False
qwen3:8b,exp_20260303_200138_,4,1,False
qwen3:8b,exp_20260303_200150_,4,1,False
qwen3:8b,exp_20260303_200202_,4,1,False
qwen3:8b,exp_20260303_200212_,4,1,False
qwen3:8b,exp_20260303_200229_,4,1,False
qwen3:8b,exp_20260303_200319_,8,1,False
qwen3:8b,exp_20260303_200402_,8,1,False
qwen3:8b,exp_20260303_200435_,4,1,False
qwen3:8b,exp_20260303_200445_,4,1,False
qwen3:8b,exp_20260303_200453_,4,1,False
qwen3:8b,exp_20260303_200502_,4,1,False
qwen3:8b,exp_20260303_200512_,4,1,False
qwen3:8b,exp_20260303_200519_,4,1,False
qwen3:8b,exp_20260303_200546_,4,1,False
qwen3:8b,exp_20260303_200558_,4,1,False
qwen3:8b,exp_20260303_200608_,4,1,False
qwen3:8b,exp_20260303_200629_,4,1,False
qwen3:8b,exp_20260303_200645_,4,1,False
qwen3:8b,exp_20260303_200654_,4,1,False
qwen3:8b,exp_20260303_200702_,4,1,False
qwen3:8b,exp_20260303_200712_,4,1,False
qwen3:8b,exp_20260303_200721_,4,1,False
qwen3:8b,exp_20260303_200731_,4,1,False
qwen3:8b,exp_20260303_200739_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211315_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211438_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211515_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211551_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211636_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211721_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211752_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211823_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211853_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211924_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_211948_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212013_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212036_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212056_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212130_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212154_,10,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212301_,8,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212342_,8,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212433_,8,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212514_,8,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212638_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212702_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212716_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212730_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212751_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212805_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212842_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212902_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212927_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_212952_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_213018_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_213035_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_213049_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_213108_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_213125_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_213140_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_213202_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_213224_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_213242_,4,1,False
qwen--qwen2.5-3b-instruct:4bit,exp_20260303_213258_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_213318_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_213603_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_213730_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_213904_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_214052_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_214250_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_214403_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_214513_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_214622_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_214735_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_214829_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_214922_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_215020_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_215106_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_215230_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_215314_,10,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_215558_,8,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_215737_,8,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_215945_,8,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_220126_,8,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_220426_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_220507_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_220536_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_220605_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_220647_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_220716_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_220836_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_220920_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221015_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221102_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221200_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221235_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221305_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221343_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221419_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221448_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221530_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221611_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221652_,4,1,False
qwen--qwen2.5-3b-instruct:8bit,exp_20260303_221726_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231029_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231203_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231234_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231305_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231350_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231430_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231505_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231529_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231600_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231625_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231647_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231709_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231731_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231753_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231825_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231843_,10,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_231947_,8,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232025_,8,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232112_,8,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232153_,8,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232301_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232317_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232329_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232343_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232403_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232414_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232446_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232504_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232526_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232548_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232611_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232626_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232638_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232657_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232711_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232723_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232742_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232802_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232819_,4,1,False
qwen--qwen2.5-7b-instruct:4bit,exp_20260303_232833_,4,1,False
qwen--qwen2.5-7b-instruct:8bit,exp_20260303_224034_,4,1,False
qwen--qwen2.5-7b-instruct:8bit,exp_20260303_224638_,4,1,False
qwen--qwen2.5-7b-instruct:8bit,exp_20260303_224952_,4,1,False
qwen--qwen2.5-7b-instruct:8bit,exp_20260303_225305_,4,1,False
qwen--qwen2.5-7b-instruct:8bit,exp_20260303_225707_,4,1,False
qwen--qwen2.5-7b-instruct:8bit,exp_20260303_230118_,4,1,False
