model,question_id,source_lang,target_lang,domain,bleu_1,bleu_2,bleu_4,chrf,bertscore_precision,bertscore_recall,bertscore_f1,length_ratio,edit_distance,normalized_edit_distance,edit_similarity
qwen25_7b_hf_4bit,q05,eng,zho_Hans,environment,0.0144927536231884,0.013498541976622215,0.011405313430108524,0.05474377340193062,0.4492572844028473,0.6584147214889526,0.5340888500213623,15.0,,,
qwen_4b_ol_q4km,q01,eng,zho_Hans,technology,0.015248796147672548,0.013554351165368522,0.010643205023484379,0.051126560399820324,0.4838663637638092,0.6371320486068726,0.550021767616272,19.16923076923077,,,
qwen_4b_ol_q4km,q02,eng,zho_Hans,history,0.01377633711507293,0.012506890869850493,0.009440177740156139,0.04246154238062561,0.4911517798900604,0.6734453439712524,0.5680314302444458,15.048780487804878,,,
qwen_4b_ol_q4km,q03,zho_Hans,eng,technology,0.04687499999999999,0.03837333825724882,0.018727993647051248,0.23627058345726182,0.4745519757270813,0.6304126977920532,0.541489839553833,59.476190476190474,,,
qwen_4b_ol_q4km,q04,eng,zho_Hans,general,0.007284079084287202,0.00550911331503204,0.0013481705115060349,0.012128749296981198,0.4922822117805481,0.6495109796524048,0.5600711107254028,21.84090909090909,,,
qwen_4b_ol_q4km,q05,eng,zho_Hans,environment,0.014470677837014471,0.014090090172053584,0.013316209384661647,0.07025328245796979,0.4693364202976227,0.6340506672859192,0.5393992066383362,19.028985507246375,,,
qwen_8b_ol_q4km,q01,eng,zho_Hans,technology,0.016225448334756618,0.014422848830737831,0.011325754048118732,0.054099036654277045,0.47991323471069336,0.6863725185394287,0.5648688673973083,18.015384615384615,,,
qwen_8b_ol_q4km,q02,eng,zho_Hans,history,0.017194570135746608,0.015785964292180838,0.013085197761350736,0.06255009492202315,0.5114049315452576,0.6991750597953796,0.5907277464866638,13.475609756097562,,,
qwen_8b_ol_q4km,q03,zho_Hans,eng,technology,0.05445544554455445,0.04655513846178739,0.020104503718950652,0.2223694508694096,0.5016342401504517,0.6949427127838135,0.5826738476753235,64.04761904761905,,,
qwen_8b_ol_q4km,q04,eng,zho_Hans,general,0.012987012987012983,0.010872777169004626,0.007959551492980535,0.03828968101844113,0.47917190194129944,0.6167611479759216,0.5393296480178833,17.5,,,
qwen_8b_ol_q4km,q05,eng,zho_Hans,environment,0.013968775677896473,0.013126774164814893,0.011368790800533027,0.05520445844855467,0.47811269760131836,0.6100476384162903,0.5360819101333618,17.63768115942029,,,
