model,question_id,has_answer,answer_length,has_conclusion,technical_term_density,technical_term_count,confidence_score,uncertainty_count,certainty_count,paragraph_count,avg_paragraph_length,has_enumeration,has_reasoning,reasoning_steps,has_examples
qwen25_3b_hf_8bit,q03,1.0,994,0.0,0.49549549549549554,22,0.5,0,0,3,327.6666666666667,1.0,1.0,12,0.0
qwen25_3b_hf_8bit,q04,1.0,1240,0.0,0.578386605783866,38,0.5,0,0,5,245.8,1.0,1.0,14,1.0
qwen25_3b_hf_8bit,q05,1.0,837,0.0,0.13513513513513514,6,0.5,0,0,5,165.6,0.0,0.0,13,0.0
qwen25_7b_hf_4bit,q01,1.0,1161,1.0,0.3770739064856712,25,0.7,0,1,4,287.75,1.0,1.0,13,0.0
qwen25_7b_hf_4bit,q02,1.0,932,0.0,0.32719836400818,16,0.5,0,0,5,181.8,0.0,1.0,11,0.0
qwen25_7b_hf_4bit,q03,1.0,995,0.0,0.3655913978494624,17,0.5,0,0,8,122.5,1.0,1.0,10,0.0
qwen25_7b_hf_4bit,q04,1.0,1309,0.0,0.2358490566037736,15,0.5,0,0,7,185.14285714285714,0.0,1.0,25,0.0
qwen25_7b_hf_4bit,q05,1.0,901,0.0,0.2888888888888889,13,0.5,0,0,5,178.4,0.0,1.0,14,0.0
qwen_4b_ol_q4km,q01,1.0,1192,0.0,0.41284403669724773,27,0.6,0,1,4,296.5,1.0,1.0,17,0.0
qwen_4b_ol_q4km,q02,1.0,930,0.0,0.27586206896551724,12,0.4,1,0,6,153.16666666666666,1.0,1.0,14,0.0
qwen_4b_ol_q4km,q03,1.0,972,0.0,0.12903225806451615,6,0.0,3,0,7,136.28571428571428,1.0,1.0,13,0.0
qwen_4b_ol_q4km,q04,1.0,1315,0.0,0.14749262536873156,10,0.19999999999999996,3,0,5,261.4,1.0,1.0,17,1.0
qwen_4b_ol_q4km,q05,1.0,947,0.0,0.38461538461538464,18,0.3,2,0,5,187.0,0.0,1.0,16,0.0
qwen_8b_ol_q4km,q01,1.0,1128,0.0,0.34013605442176875,20,0.5,0,0,3,374.6666666666667,1.0,1.0,18,0.0
qwen_8b_ol_q4km,q02,1.0,926,0.0,0.1910828025477707,9,0.3,2,0,4,230.0,1.0,1.0,9,0.0
qwen_8b_ol_q4km,q03,1.0,893,0.0,0.34632034632034636,16,0.5,0,0,3,289.0,1.0,1.0,11,0.0
qwen_8b_ol_q4km,q04,1.0,1324,0.0,0.23703703703703705,16,0.3,2,0,4,329.5,1.0,1.0,18,1.0
qwen_8b_ol_q4km,q05,1.0,895,0.0,0.3378378378378379,15,0.3,1,0,4,221.75,1.0,1.0,14,0.0
